2021-06-26 23:06:561 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-26 23:06:282 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-26 23:06:281 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (acbba7590523d2d08dcd3efe00cb7595)] -> link text: Log in]
2021-06-26 23:06:321 INFO  LoginPage :57 - Getting text from : [[ChromeDriver: chrome on WINDOWS (acbba7590523d2d08dcd3efe00cb7595)] -> xpath: //div[@class='page-title']//h1]
2021-06-27 18:06:299 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 18:06:403 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> link text: Computers]
2021-06-27 18:06:866 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> link text: Desktops]
2021-06-27 18:06:413 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> xpath: //select[@id='products-orderby']]
2021-06-27 18:06:463 INFO  ComputerPage :40 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (d8b9b352141de288da3cd2746f83be3e)] -> xpath: //h2[@class='product-title']]]
2021-06-27 19:06:865 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:613 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:52 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ea83d7926bb8f4a5e09c629b71c96444)] -> link text: Computers]
2021-06-27 19:06:926 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (ea83d7926bb8f4a5e09c629b71c96444)] -> link text: Desktops]
2021-06-27 19:06:254 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (ea83d7926bb8f4a5e09c629b71c96444)] -> xpath: //select[@id='products-orderby']]
2021-06-27 19:06:955 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:385 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3068f22dbf0bb47510f0d4702d3f43aa)] -> link text: Computers]
2021-06-27 19:06:582 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (3068f22dbf0bb47510f0d4702d3f43aa)] -> link text: Desktops]
2021-06-27 19:06:435 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:293 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (13139ad87b9c96dc1ce32ae0cd374457)] -> link text: Computers]
2021-06-27 19:06:458 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (13139ad87b9c96dc1ce32ae0cd374457)] -> link text: Desktops]
2021-06-27 19:06:530 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:213 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> link text: Computers]
2021-06-27 19:06:921 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> link text: Desktops]
2021-06-27 19:06:185 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> xpath: //select[@id='products-orderby']]
2021-06-27 19:06:227 INFO  ComputerPage :40 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (ac32c133f27774a15c8258ec512d98b6)] -> xpath: //h2[@class='product-title']]]
2021-06-27 19:06:181 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:428 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (aa77de87dfdbda6b646c94dea8badd57)] -> link text: Computers]
2021-06-27 19:06:781 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (aa77de87dfdbda6b646c94dea8badd57)] -> link text: Desktops]
2021-06-27 19:06:533 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (aa77de87dfdbda6b646c94dea8badd57)] -> xpath: //select[@id='products-orderby']]
2021-06-27 19:06:52 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:33 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> link text: Computers]
2021-06-27 19:06:500 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> link text: Desktops]
2021-06-27 19:06:808 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> xpath: //select[@id='products-orderby']]
2021-06-27 19:06:853 INFO  ComputerPage :40 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (c0de245de185a63772346accd930074b)] -> xpath: //h2[@class='product-title']]]
2021-06-27 19:06:927 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 19:06:582 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b8db35e54a1658f9e343fe544ffea508)] -> link text: Computers]
2021-06-27 19:06:699 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (b8db35e54a1658f9e343fe544ffea508)] -> link text: Desktops]
2021-06-27 20:06:184 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:902 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4f3cbb524cfa37e3589eb207bc98fa49)] -> link text: Computers]
2021-06-27 20:06:78 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (4f3cbb524cfa37e3589eb207bc98fa49)] -> link text: Desktops]
2021-06-27 20:06:376 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:899 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc79bf21a34f54dd4614e1289cf1ad92)] -> link text: Computers]
2021-06-27 20:06:51 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (dc79bf21a34f54dd4614e1289cf1ad92)] -> link text: Desktops]
2021-06-27 20:06:884 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:490 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> link text: Computers]
2021-06-27 20:06:929 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> link text: Desktops]
2021-06-27 20:06:263 INFO  ComputerPage :35 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> xpath: //select[@id='products-orderby']]
2021-06-27 20:06:306 INFO  ComputerPage :40 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (7531634ffc140a5911d0e0f7aa3444dc)] -> xpath: //h2[@class='product-title']]]
2021-06-27 20:06:409 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:408 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (994481ac4df98398442c87ebd2d8898a)] -> link text: Computers]
2021-06-27 20:06:940 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (994481ac4df98398442c87ebd2d8898a)] -> link text: Desktops]
